ques,op1,op2,op3,op4,op5,"m,n",ans,sol,topic
"<p> <font face=""Cambria Math, serif"">The catalyst used in Rosenmund reaction is</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_e5c0c65c38bccc95.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_876157e61d23a382.gif""/>    ","   Raney  <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_292a8e9c8930949d.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_40d522c7e4c7d5f2.gif""/> in ethanol    ",,,2 ," <p> <font face=""Cambria Math, serif"">In the Rosenmund’s reaction the acid chlorides are converted to corresponding aldehydes by catalytic reaction. This reaction is carried in the presence of palladium deposited over barium, sulphate.</font></p> <p> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_7c44b3fa9ddbd59.gif""/> </p> <p> <font face=""Cambria Math, serif"">||</font></p> <p align=""left""> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_c03c29699a165253.gif""/> </p> <p><font face=""Cambria Math, serif"">Acetyl chloride acetaldehyde</font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Claisen condensation is not given by</font></p>","   <img align=""bottom"" height=""49"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_ed688366460bbea1.gif"" width=""175""/>    ","   <img align=""bottom"" height=""50"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_e323eca5fb9a6e48.gif"" width=""155""/>          ","   <img align=""bottom"" height=""50"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_385f8a235348a5ea.gif"" width=""125""/>    ","   <img align=""bottom"" height=""50"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_1822ad7b2508a1c4.gif"" width=""175""/>     ",,,1 ," <p> <font face=""Cambria Math, serif"">In Claisen condensation aromatic aldehydes having no </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_bc59202daf45236a.gif""/> <font face=""Cambria Math, serif"">hydrogen atom react with aldehyde, ketones or esters having </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_bc59202daf45236a.gif""/> <font face=""Cambria Math, serif"">hydrogen atom in presence of dilute alkali to form </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_d9eef01d71dec9bc.gif""/> <font face=""Cambria Math, serif"">unsaturated carbonyl compound</font><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_299e3ee490747f2b.gif""/> </p> <p> <img align=""bottom"" height=""181"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_d5c0540d0450dde8.gif"" width=""291""/> </p> <p><font face=""Cambria Math, serif"">As it does not contain</font><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_bc59202daf45236a.gif""/> <font face=""Cambria Math, serif"">hydrogen atom.</font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Which of the following is a flavouring agent called ‘oil of winter green’?</font></p>",   Olive oil   ,   Vinegar   ,   Methyl acetate   ,   Methyl salicylate      ,,,4," <p><font face=""Cambria Math, serif"">Methyl salicylate an ester has smell of oil of winter green and used as medicine in iodex; the pain reliever of strains in muscles. </font> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">The following reaction is known by the name of:</font></p> <p><img align=""bottom"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_cfeb105c12d71777.gif""/> ",   Stephen’s reduction           ,   Rosenmund’s reaction           ,   Cannizzaro’s reaction           ,   None of these    ,,,2 ," <p align=""justify""><font face=""Cambria Math, serif"">Rosenmund’s reaction involves reduction of acid chlorides to aldehydes by the action of </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_37111d384921e08c.gif""/> <font face=""Cambria Math, serif""> in presence of </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_2146dcaca5a9fe9e.gif""/> <font face=""Cambria Math, serif"">. </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_e648f77665489510.gif""/> <font face=""Cambria Math, serif""> acts as poison for Pd and prevents further reduction of aldehydes to alcohol. </font> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">The enol form of acetone, after treatment with </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_1d4fb49f0b41456a.gif""/> <font face=""Cambria Math, serif""> gives</font></p>","   <img align=""bottom"" height=""39"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_547212a4afcacb4.gif"" width=""87""/>    ","   <img align=""bottom"" height=""39"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_b930406836f34cee.gif"" width=""87""/>    ","   <img align=""bottom"" height=""39"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_8fe4e081f0594acb.gif"" width=""105""/>    ","   <img align=""bottom"" height=""39"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_54cb2bdc0d75392f.gif"" width=""105""/>     ",,,1 ," <p> <font face=""Cambria Math, serif"">After treatment with </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_8428b58fecba61f.gif""/> <font face=""Cambria Math, serif""> group is replaced by </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_9fd019a5f1811431.gif""/> <font face=""Cambria Math, serif""> ion, because of being more reactive than deuterium</font></p> <p align=""left""> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_4f7afc69a286cce0.gif""/> </p> <p> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_292a8e9c8930949d.gif""/> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_292a8e9c8930949d.gif""/> </p> <p> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_d0a1b4c3eb11df63.gif""/> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_9efba737d77cad18.gif""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_14a4671ff86d8f92.gif""/> <font face=""Cambria Math, serif"">?</font></p> <p><font face=""Cambria Math, serif"">The product of the reaction is isomeric with</font></p>","   <img align=""bottom"" height=""41"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_f88e0da2ba739cfd.gif"" width=""71""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_cfc42a953c30957b.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_ec0970e3f4d5560b.gif""/>    ",   All of these    ,,,4 ," <p align=""left""> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_4f7f030c16f60d23.gif""/> </p> <p> <font face=""Cambria Math, serif"">acetic acid ammonium acetate acetamide</font></p> <p> <font face=""Cambria Math, serif"">The isomers of </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_1918409c90591615.gif""/> <font face=""Cambria Math, serif""> is</font></p> <li><p> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_ae67b2ac8df59fcc.gif""/> </p> </li><li><p> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_a646bb9b6d3dbd20.gif""/> </p> </li><li><p><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_17a6f9d87b435ac6.gif""/> </p> </li> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">The acid formed when propyl magnesium bromide is treated with </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_6ff4f0b79851acd6.gif""/> <font face=""Cambria Math, serif""> is:</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_41ed6a20a2bf9fda.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_a58bbf69d5ce0ba6.gif""/>    ",   Both (a) and (b)   ,   None of these      ,,,1,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Tamarind contains</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_292a8e9c8930949d.gif""/> tartaric acid   ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_292a8e9c8930949d.gif""/> tartaric acid   ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_b519d632d70bb424.gif""/> tartaric acid   ",   None of the above    ,,,1 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">The splitting of an ester by an alcohol is known as:</font></p>",   Acidolysis   ,   Alcoholysis   ,   Ammonolysis   ,   Hydrolysis      ,,,2 ," <p align=""left""><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_2329b725b602df38.gif""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">The product formed when hydroxylamine condenses with a carbonyl compound is called</font></p>",   Hydrazide   ,   Oxime   ,   Hydrazine   ,   Hydrazone    ,,,2 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_e7d7ac1a9e276803.gif""/> <font face=""Cambria Math, serif"">undergoes Claisen condensation with another aldehyde to give cinnamaldehyde. The aldehyde is</font></p>",   Formaldehyde   ,   Acetaldehyde         ,   Crotonaldehyde   ,   Propanaldehyde    ,,,2," <p> <font face=""Cambria Math, serif"">Cinnamaldehyde is prepared by the Claisen reaction between benzaldehyde and acetaldehyde</font></p> <p align=""left""> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_56e952af55beadc4.gif""/> </p> <p> <font face=""Cambria Math, serif"">cinnamaldehyde</font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Two mole of acetic acid are heated with </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_ad1ad049da20369f.gif""/> <font face=""Cambria Math, serif"">. The product formed is:</font></p>",   2 mole of ethyl alcohol           ,   Formic anhydride           ,   Acetic anhydride         ,   2 mole of methyl cyanide      ,,,3 ," <p align=""left""> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_934322df1f49df90.gif""/> </p> <p><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_ad1ad049da20369f.gif""/> <font face=""Cambria Math, serif"">acts as dehydrating agent. </font> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">The nitrogen content in the proteins can be quantitatively estimated by:</font></p>",   Carius method           ,   Kjeldahl’s method           ,   Victor Meyer’s method           ,   Rast method    ,,,2 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Correct order of reducing power of the following carbonyl compounds</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_ba7d2b307d7efa18.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_715a2d104d97a698.gif""/>          ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_6146aaea55c79cc.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_2600ac58c60b026c.gif""/>     ",,,3 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Cyanohydrin of which of the following forms lactic acid?</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_e9e368fd1de222c2.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_8dfa18aea5fe73aa.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_96ca8eaafc849144.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_2df5eb7207f91864.gif""/>     ",,,3," <p> <font face=""Cambria Math, serif"">Carbonyl compound + </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_5c25a12be7530c.gif""/> <font face=""Cambria Math, serif"">cyanohydrin</font><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_6869ccb20b57ee09.gif""/> <font face=""Cambria Math, serif"">hydroxy acid</font></p> <p> <font face=""Cambria Math, serif"">Latic acid is</font></p> <p> <img align=""bottom"" height=""237"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_e3edc708cf5f033a.gif"" width=""279""/> </p> <p><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_57928a5d7634e0c1.gif""/> <font face=""Cambria Math, serif"">Cyanohydrin of acetaldehyde forms lactic acid.</font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Ethyl acetate on reaction with a Grignard reagent gives,</font></p>",   Alcohol   ,   Aldehyde   ,   Acid   ,   Ketone    ,,,4 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Acetaldehyde reacts with HCN followed by hydrolysis forms a compound which shows: </font> ",   Optical isomerism           ,   Geometrical isomerism           ,   Metamerism           ,   Tautomerism      ,,,1 ," <p> <img align=""bottom"" height=""143"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_523e3897d716f18f.gif"" width=""199""/> </p> <p><font face=""Cambria Math, serif"">Carbon is asymmetric.</font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Carboxylic acids dissolve in </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_e40c63086343076a.gif""/> <font face=""Cambria Math, serif""> NaOH because the acids undergo:</font></p>",   Protonation     ,   Deprotonation     ,   Carboxylation     ,   Decarboxylation      ,,,2 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Which of the acids cannot be prepared by Grignard reagent?</font></p>",   Acetic acid   ,   Succinic acid   ,   Formic acid   ,   All of these    ,,,3," <p> <font face=""Cambria Math, serif"">Carboxylic acids are prepared by reaction of Grignard reagent with </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_6ff4f0b79851acd6.gif""/> <font face=""Cambria Math, serif"">.</font></p> <p> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_cb1f68d47167d888.gif""/> <font face=""Cambria Math, serif"">Formic acid </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_5c26892d9e6aa8ee.gif""/> </p> <p> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_57928a5d7634e0c1.gif""/> <font face=""Cambria Math, serif"">Formic acid cannot be prepared from Grignard reagent.</font></p> <p> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_7c44b3fa9ddbd59.gif""/> </p> <p> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_af0bd86685b5878d.gif""/> </p> <p align=""left""> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_71733b016b4f0944.gif""/> </p> <p><font face=""Cambria Math, serif""><font>Grignard reagent acid</font></font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Compound </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_e220410307313807.gif""/> <font face=""Cambria Math, serif""> when treated with ethyl magnesim iodide in dry ether forms an addition compound which on hydrolysis form compound </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_f75be7208c5113fd.gif""/> <font face=""Cambria Math, serif"">. The compound </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_f75be7208c5113fd.gif""/> <font face=""Cambria Math, serif""> on oxidation form 3-pentanone. Hence, the compound </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_e220410307313807.gif""/> <font face=""Cambria Math, serif""> and </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_f75be7208c5113fd.gif""/> <font face=""Cambria Math, serif""> are</font></p>","   Propanol, 3-pentanol   ","   Pentanol, 3-pentanol   ","   Ethanal, pentanal   ","   Acetone, 3-pentanol    ",,,1 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Suggest appropriate structures for the missing final compound. (The number of carbon atom remains the same throughout the reaction.)</font></p> <p><img align=""bottom"" height=""67"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_af2a5833d9528e14.gif"" width=""231""/> ","   <img align=""bottom"" height=""77"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_29014740389a871e.gif"" width=""77""/>    ","   <img align=""bottom"" height=""57"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_a08809d59e9bc38a.gif"" width=""77""/>    ","   <img align=""bottom"" height=""77"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_3e4b7cca73176dc8.gif"" width=""77""/>    ","   <img align=""bottom"" height=""48"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_ae5e773e4a4dd39d.gif"" width=""77""/>     ",,,1 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Lactic acid on heating with conc. </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_3be1b165d96b86e1.gif""/> <font face=""Cambria Math, serif""> gives</font></p>",   Acetic acid   ,   Formic acid   ,   Acrylic acid   ,   Propionic acid    ,,,3 ," <p> <font face=""Cambria Math, serif"">Lactic acid on heatng with conc. </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_3be1b165d96b86e1.gif""/> <font face=""Cambria Math, serif""> to give acrylic acid</font></p> <p><img align=""bottom"" height=""73"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_1042436d532e23d3.gif"" width=""285""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Urea can be detected by</font></p>",   Benedict test   ,   Molisch test   ,   Ninhydrine test   ,   Biurate test    ,,,4," <p><font face=""Cambria Math, serif"">When urea is heated it gives the biurate which give violet colour with </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_9ae9e18b4f6b546c.gif""/> <font face=""Cambria Math, serif""> and </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_ed352766b77e2fc3.gif""/> <font face=""Cambria Math, serif"">.</font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
